#C    1st         2nd         3rd        4th
2	1907.55     nan         nan         nan
4	2141.08     nan         nan         nan
6	2154.33     nan         nan         nan
8	2108.71     2139.83     nan         nan
10	2048.85     2142.86     nan         nan
12	2003.76     2122.33     2127.74     nan
14	1948.04     2092.21     2130.55     nan
16	1903.83     2060.70     2128.78     2120.58
18	1863.60     2029.02     2109.18     2122.42
20	1828.91     2002.41     2084.50     2117.87
24	1765.98     1940.45     2041.46     2092.93
28	1712.78     1891.32     1998.59     2063.18
32	1667.33	    1845.21     1957.7      2032.14
36	1627.46     1804.55     1920.86     1999.85      
40	1592.71     1768.10     1885.91     1966.40
46	1547.93     1720.36     1837.04     1924.05
50	1521.49     1688.9      1808.19     1894.69
