#C    1st        2nd(32*)     3rd       4th         5th
2	1972.75     NaN	        NaN         NaN         NaN
4	2217.68	    NaN         NaN         NaN         NaN
6	2236.06	    NaN         NaN         NaN         NaN
8	2191.42		2217.08     NaN         NaN         NaN
10	2130.86		2224.44     NaN         NaN         NaN
12	2083.36		2204.50     2206.28     NaN         NaN
14	2030.17		2173.83     2212.11     NaN         NaN
16	1985.25		2148.39     2202.97     NaN         NaN
18	1946.23		2112.88     2187.35     NaN         NaN
20	1911.78		2085.44     2169.54     NaN         NaN
24	1846.27	    2024.80     2126.97	    2180.09     NaN
28	1792.73		1974.57     2085.33     2150.15     NaN
32	1745.53		1930.48     2047.15     2118.04     NaN
36	1703.96     1888.44     2007.70     2086.33	    NaN
40	1667.74     1852.21     1972.06     2057.58	    NaN
46	1620.12     1800.37     1923.07     2011.02     2072.26
50	1591.89	    1772.04     1894.76     1983.53     2050.11
